model_name,arch,dataset,epochs,best_psnr_epoch,best_psnr,ssim_at_best_psnr,best_ssim_epoch,best_ssim,final_psnr,final_ssim,exp_dir
CARN_M_thermal_gray_x2,CARN_M,InfraredThermal32x24,100,98,28.405398196419753,0.9500727209561306,97,0.9511072741758181,28.211913394389178,0.9469224277413717,runs/CARN_M_thermal_gray_x2/InfraredThermal32x24/exp_20260510_194416
CARN_M_thermal_gray_x2,CARN_M,InfraredThermal32x24,100,98,28.35935790390618,0.9493125677217594,98,0.9493125677217594,28.161824862162273,0.936598347935924,runs/CARN_M_thermal_gray_x2/InfraredThermal32x24/exp_20260510_201123
EDSR_Tiny_thermal_gray_x2,EDSR_Tiny,InfraredThermal32x24,100,99,28.043629915700794,0.9470300482055087,97,0.9510159806462484,28.006575659843488,0.9455546458573374,runs/EDSR_Tiny_thermal_gray_x2/InfraredThermal32x24/exp_20260510_194329
SRCNN_thermal_gray_x2,SRCNN,InfraredThermal32x24,100,98,27.76895631369898,0.9532120796264538,90,0.9533743397017695,27.76255437344481,0.9532971326415567,runs/SRCNN_thermal_gray_x2/InfraredThermal32x24/exp_20260510_194251
EDSR_Tiny_thermal_gray_x2,EDSR_Tiny,InfraredThermal32x24,100,96,27.76362232703947,0.9488072093486517,96,0.9488072093486517,27.71549008256298,0.9413852153546152,runs/EDSR_Tiny_thermal_gray_x2/InfraredThermal32x24/exp_20260510_201037
SRCNN_thermal_gray_x2,SRCNN,InfraredThermal32x24,100,100,27.70023463405458,0.9514606869442014,92,0.9514724242815445,27.70023463405458,0.9514606869442014,runs/SRCNN_thermal_gray_x2/InfraredThermal32x24/exp_20260510_200959
FSRCNN_thermal_gray_x2,FSRCNN,InfraredThermal32x24,100,100,26.922491488483665,0.924776616974211,100,0.924776616974211,26.922491488483665,0.924776616974211,runs/FSRCNN_thermal_gray_x2/InfraredThermal32x24/exp_20260510_200920
ESPCN_Light_thermal_gray_x2,ESPCN_Light,InfraredThermal32x24,100,100,26.76833979827536,0.9324895643177925,100,0.9324895643177925,26.76833979827536,0.9324895643177925,runs/ESPCN_Light_thermal_gray_x2/InfraredThermal32x24/exp_20260510_194053
ESPCN_Light_thermal_gray_x2,ESPCN_Light,InfraredThermal32x24,100,99,26.680344716303765,0.9282228914355496,96,0.930731103687041,26.67948129621603,0.9296424792711352,runs/ESPCN_Light_thermal_gray_x2/InfraredThermal32x24/exp_20260510_200802
FSRCNN_thermal_gray_x2,FSRCNN,InfraredThermal32x24,100,99,26.666211139010844,0.9238351307996613,99,0.9238351307996613,26.545745520941956,0.8998513141512692,runs/FSRCNN_thermal_gray_x2/InfraredThermal32x24/exp_20260510_194211
ESPCN_thermal_gray_x2,ESPCN,InfraredThermal32x24,100,97,26.60111208554715,0.9319553829104813,97,0.9319553829104813,26.569803862921937,0.9163135761582445,runs/ESPCN_thermal_gray_x2/InfraredThermal32x24/exp_20260510_200719
ESPCN_thermal_gray_x2,ESPCN,InfraredThermal32x24,100,99,26.533017411743852,0.9285476148125177,96,0.9305616126593326,26.460860871999277,0.9269803053747514,runs/ESPCN_thermal_gray_x2/InfraredThermal32x24/exp_20260510_194010
ESPCN_Micro_thermal_gray_x2,ESPCN_Micro,InfraredThermal32x24,100,100,26.342835183870996,0.9292044387881613,100,0.9292044387881613,26.342835183870996,0.9292044387881613,runs/ESPCN_Micro_thermal_gray_x2/InfraredThermal32x24/exp_20260510_200842
ESPCN_Micro_thermal_gray_x2,ESPCN_Micro,InfraredThermal32x24,100,100,26.103360644841597,0.921999358260996,96,0.9233194565713218,26.103360644841597,0.921999358260996,runs/ESPCN_Micro_thermal_gray_x2/InfraredThermal32x24/exp_20260510_194134
